Mean Score,Parameters
0.3064509970156789,"{'classifier': SVC(class_weight={0: 1, 1: 5}, random_state=42), 'classifier__class_weight': None}"
0.3435727861076179,"{'classifier': SVC(class_weight={0: 1, 1: 5}, random_state=42), 'classifier__class_weight': {0: 1, 1: 5}}"
0.34313402049897573,"{'classifier': SVC(class_weight={0: 1, 1: 5}, random_state=42), 'classifier__class_weight': {0: 1, 1: 10}}"
0.32638422027911007,"{'classifier': SVC(class_weight={0: 1, 1: 5}, random_state=42), 'classifier__class_weight': {0: 1, 1: 25}}"
